Order_ID,Order_Date,Item_Name,Quantity,Total products,prepared by,served_by
4487,27/05/2020 16:42,Mango Chutney,1,10,hong wu,peter
4487,27/05/2020 16:42,Onion Chutney,1,10,hong wu,kevin
4487,27/05/2020 16:42,Mint Sauce,1,10,hong wu,peter
4487,27/05/2020 16:42,Lime Pickle,1,10,hong wu,kevin
4487,27/05/2020 16:42,Plain Papadum,4,10,hong wu,peter
4487,27/05/2020 16:42,Lemon Rice,1,10,hong wu,peter
4487,27/05/2020 16:42,Tandoori Chicken,1,10,hong wu,peter
4487,27/05/2020 16:42,Bombay Aloo,1,10,ram,peter
4487,27/05/2020 16:42,Curry,1,10,ram,kevin
4487,27/05/2020 16:42,Tandoori Fish Karahi,1,10,ram,kevin
4488,27/05/2020 17:19,Keema Naan,1,5,hong wu,kevin
4488,27/05/2020 17:19,Mushroom Rice,2,5,hong wu,peter
4488,27/05/2020 17:19,Saag Paneer,1,5,hong wu,peter
4488,27/05/2020 17:19,Butter Chicken,1,5,ram,kevin
4488,27/05/2020 17:19,Chicken Balti,1,5,hong wu,peter
4489,27/05/2020 17:32,Chapati,3,3,hong wu,peter
4489,27/05/2020 17:32,Vegetable Curry,1,3,ram,peter
4489,27/05/2020 17:32,Madras,1,3,ram,kevin
4490,27/05/2020 17:37,Mixed Raita,1,4,hong wu,peter
4490,27/05/2020 17:37,Tandoori Chicken,1,4,hong wu,peter
4490,27/05/2020 17:37,Lamb Chilli Masala,1,4,hong wu,kevin
4490,27/05/2020 17:37,Lamb Balti,1,4,hong wu,kevin
4491,27/05/2020 17:46,Pilau Rice,2,5,ram,peter
4491,27/05/2020 17:46,Vegetable Curry,1,5,hong wu,kevin
4491,27/05/2020 17:46,Madras,1,5,hong wu,kevin
4491,27/05/2020 17:46,Chicken Tikka (Main),1,5,hong wu,kevin
4491,27/05/2020 17:46,Chicken Tikka Masala,1,5,ram,kevin
4492,27/05/2020 18:02,Chapati,2,5,ram,peter
4492,27/05/2020 18:02,Peshwari Naan,1,5,ram,kevin
4492,27/05/2020 18:02,Aloo Gobi,1,5,ram,kevin
4492,27/05/2020 18:02,Rogon,1,5,ram,kevin
4492,27/05/2020 18:02,Chicken Biryani,1,5,ram,kevin
4493,27/05/2020 18:26,Naan,2,4,hong wu,peter
4493,27/05/2020 18:26,Bombay Aloo,2,4,ram,kevin
4493,27/05/2020 18:26,Curry,2,4,hong wu,kevin
4493,27/05/2020 18:26,Madras,1,4,ram,kevin
4494,27/05/2020 18:59,Mango Chutney,1,9,ram,kevin
4494,27/05/2020 18:59,Red Sauce,1,9,hong wu,peter
4494,27/05/2020 18:59,Plain Papadum,5,9,hong wu,peter
4494,27/05/2020 18:59,Plain Rice,1,9,ram,kevin
4494,27/05/2020 18:59,Special Fried Rice,4,9,ram,peter
4494,27/05/2020 18:59,Chicken Tikka Masala,2,9,hong wu,peter
4494,27/05/2020 18:59,Chicken Chilli Masala,1,9,ram,peter
4494,27/05/2020 18:59,Chicken Tikka Jalfrezi,1,9,hong wu,kevin
4494,27/05/2020 18:59,Methi,1,9,hong wu,peter
4495,27/05/2020 19:05,Dahi,1,8,hong wu,peter
4495,27/05/2020 19:05,Pilau Rice,1,8,hong wu,kevin
4495,27/05/2020 19:05,Peshwari Naan,1,8,ram,kevin
4495,27/05/2020 19:05,Kulcha Naan,1,8,ram,kevin
4495,27/05/2020 19:05,Vegetable Rice,1,8,hong wu,kevin
4495,27/05/2020 19:05,Bombay Aloo,1,8,ram,peter
4495,27/05/2020 19:05,Madras,1,8,hong wu,kevin
4495,27/05/2020 19:05,Chicken Chilli Masala,1,8,hong wu,peter
4496,27/05/2020 19:07,Tandoori Roti,1,6,hong wu,kevin
4496,27/05/2020 19:07,Coke 1.5 ltr,1,6,hong wu,kevin
4496,27/05/2020 19:07,Pilau Rice,1,6,ram,kevin
4496,27/05/2020 19:07,Tandoori Chicken,1,6,hong wu,kevin
4496,27/05/2020 19:07,Vegetable Curry,1,6,ram,peter
4496,27/05/2020 19:07,Methi,1,6,ram,kevin
4497,27/05/2020 19:10,Plain Papadum,2,7,ram,peter
4497,27/05/2020 19:10,Chapati,2,7,hong wu,peter
4497,27/05/2020 19:10,Naan,1,7,ram,peter
4497,27/05/2020 19:10,Pilau Rice,1,7,hong wu,peter
4497,27/05/2020 19:10,French Fries,1,7,hong wu,kevin
4497,27/05/2020 19:10,Curry,1,7,ram,kevin
4497,27/05/2020 19:10,Kurma,1,7,ram,kevin
4498,27/05/2020 19:17,Mango Chutney,1,12,hong wu,kevin
4498,27/05/2020 19:17,Onion Chutney,1,12,ram,kevin
4498,27/05/2020 19:17,Mint Sauce,1,12,ram,peter
4498,27/05/2020 19:17,Red Sauce,1,12,hong wu,peter
4498,27/05/2020 19:17,Plain Papadum,6,12,hong wu,peter
4498,27/05/2020 19:17,Naan,1,12,hong wu,peter
4498,27/05/2020 19:17,Pilau Rice,2,12,hong wu,kevin
4498,27/05/2020 19:17,Keema Naan,1,12,hong wu,peter
4498,27/05/2020 19:17,Peshwari Naan,1,12,ram,peter
4498,27/05/2020 19:17,Mini Bhaji,2,12,ram,kevin
4498,27/05/2020 19:17,Kurma,2,12,ram,kevin
4498,27/05/2020 19:17,Chicken Tikka Masala,1,12,hong wu,peter
4499,27/05/2020 19:48,Pilau Rice,1,6,ram,kevin
4499,27/05/2020 19:48,Vegetable Rice,1,6,hong wu,kevin
4499,27/05/2020 19:48,Special Fried Rice,1,6,hong wu,kevin
4499,27/05/2020 19:48,Garlic Chicken,1,6,ram,kevin
4499,27/05/2020 19:48,Chicken Royal,1,6,ram,peter
4499,27/05/2020 19:48,Kurma,1,6,hong wu,kevin
4500,27/05/2020 19:54,Pilau Rice,3,6,ram,kevin
4500,27/05/2020 19:54,Mushroom Rice,1,6,hong wu,peter
4500,27/05/2020 19:54,Bhuna,1,6,ram,kevin
4500,27/05/2020 19:54,Chicken Tikka Masala,1,6,ram,kevin
4500,27/05/2020 19:54,Rogon,1,6,ram,kevin
4500,27/05/2020 19:54,Lamb Tikka Jalfrezi,1,6,hong wu,kevin
4501,27/05/2020 19:55,Mango Chutney,1,11,hong wu,kevin
4501,27/05/2020 19:55,Onion Chutney,1,11,ram,peter
4501,27/05/2020 19:55,Red Sauce,1,11,ram,kevin
4501,27/05/2020 19:55,Plain Papadum,4,11,ram,kevin
4501,27/05/2020 19:55,Puree,1,11,ram,peter
4501,27/05/2020 19:55,Pilau Rice,1,11,hong wu,peter
4501,27/05/2020 19:55,Garlic Naan,1,11,hong wu,peter
4501,27/05/2020 19:55,Prawn Puree,1,11,ram,peter
4501,27/05/2020 19:55,Saag Paneer,1,11,hong wu,kevin
4501,27/05/2020 19:55,Vegetable Karahi,1,11,ram,kevin
4501,27/05/2020 19:55,Garlic Tikka Chilli Masala,1,11,hong wu,peter
4502,27/05/2020 20:41,Pilau Rice,1,4,hong wu,kevin
4502,27/05/2020 20:41,Sheek Kehab,1,4,ram,peter
4502,27/05/2020 20:41,Saag Bhajee,1,4,ram,peter
4502,27/05/2020 20:41,Methi,1,4,ram,kevin
4503,27/05/2020 22:17,Chapati,1,5,ram,peter
4503,27/05/2020 22:17,Naan,1,5,hong wu,peter
4503,27/05/2020 22:17,Pilau Rice,3,5,ram,kevin
4503,27/05/2020 22:17,Curry,1,5,ram,peter
4503,27/05/2020 22:17,Kurma,2,5,ram,kevin
4504,28/05/2020 16:55,Naan,1,6,ram,peter
4504,28/05/2020 16:55,Peshwari Naan,1,6,ram,peter
4504,28/05/2020 16:55,Pilau Rice,1,6,ram,peter
4504,28/05/2020 16:55,Curry,1,6,hong wu,peter
4504,28/05/2020 16:55,Kurma,1,6,hong wu,peter
4504,28/05/2020 16:55,Butter Chicken,1,6,ram,kevin
4505,28/05/2020 16:57,Plain Papadum,2,6,hong wu,kevin
4505,28/05/2020 16:57,Naan,1,6,ram,kevin
